Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Ekaterina BATURINA|Luge|Russian Fed.|Female|28 July 1992|21|1.78|74|Russian Fed., KRASNOYARSK|Russian Fed., KRASNOYARSK||Walter Playkner [national] ||||Athlete|Krasnoyarsk, Russia|||Russian||||
Adeline BAUD|Alpine Skiing|France|Female|28 September 1992|21|1.62|56|France, EVIAN LES BAINS|-|Boulie [a nickname her father gave to her as a child]. |Philippe Martin, Lionel Pellicier ||She injured her knee in March 2013. ||||||English, French||||
Armin BAUER|Nordic Combined|Italy|Male|15 July 1990|23|1.74|69|Italy, BOLZANO|-||Kimmo Savolainen [national], FIN; Jochen Strobl [national], ITA |||Vancouver 2010|Police Officer||||English, German, Italian|Computers, cycling, tennis. |||
Klemen BAUER|Biathlon|Slovenia|Male|9 January 1986|28|1.83|77|Slovenia, LJUBLJANA|-||Uros Velepec [national], Tomas Vos [shooting] ||In September 2008 he and teammate Peter Dokl collided with a truck while cycling. He suffered a broken collarbone and was forced to undergo surgery. |Vancouver 2010, Torino 2006|Athlete||||English, Slovene|Mountaineering, paragliding, snowboarding. |||
Lukas BAUER|Cross-Country|Czech Republic|Male|18 August 1977|36|1.81|73|-|-||Janko Neuber ||He had a hamstring and thigh injury in 2012 that hampered his training for the 2012/13 season. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete||||Czech, English, Russian|Mountain biking, canoeing, nature, music, motorbikes. |||
Alex BAUMANN|Bobsleigh|Switzerland|Male|9 March 1985|28|1.81|100|Switzerland, HERISAU AR|-|Banz |||||||Brakeperson |||Floor hockey, volleyball. |||
Jonas BAUMANN|Cross-Country|Switzerland|Male|27 March 1990|23|1.75|71|-|-|Buma |Guri Hetland [national] ||||Athlete||||German|Football. |||
Romed BAUMANN|Alpine Skiing|Austria|Male|14 January 1986|28|1.84|94|Austria, ST. JOHANN IN TIROL|-|||||Vancouver 2010|Athlete||||English, German|Golf, tennis, cycling, music. |||
Stefan BAUMEISTER|Snowboard|Germany|Male|18 April 1993|20|1.73|72|Germany, BAD AIBLING|-||Andi Scheid [national]; Stani Kulawik [national] |||||Ski Club Aising-Pang, Rosenheim, GER|||German||||
Alexej BAUMGAERTNER|Speed Skating|Germany|Male|13 July 1988|25|1.82|77|Russian Fed., GLASOV|-||Klaus Ebert, Stephan Gneupel ||||Army, Athlete, Student||||English, German, Russian||||
Nick BAUMGARTNER|Snowboard|United States|Male|17 December 1981|32|1.83|91|United States, IRON RIVER|United States, Upper Penninsula of Michigan|Baum, Bummie |Peter Foley ||In January 2011 he broke his collar bone in a training accident, which required surgery to insert a metal plate and 15 screws into his shoulder. |Vancouver 2010|Athlete, Business Owner|West Iron County High School, United States||||Demolition derbies, American football, beach volleyball, mountain boarding, mountain biking, golf, softball, wakeboarding. |||
Vera BAZAROVA|Figure Skating|Russian Fed.|Female|28 January 1993|21|1.58|-|Russian Fed., YEKATERINBURG|Russian Fed., YEKATERINBURG||Nina Mozer, RUS; Vladislav Zhovnirski, RUS |||Vancouver 2010|Student|Vorobievye Gory, Saransk, RUS||||Reading, going out, cooking. |||
Jean Guillaume BEATRIX|Biathlon|France|Male|24 March 1988|25|1.74|65|France, ST PRIEST|-||Stephane Bouthiaux [national] ||||Athlete, Customs Officer||||English, French|Art history, cinema, music, painting. |||
Alex BEAULIEU-MARCHAND|Freestyle Skiing|Canada|Male|3 March 1994|19|1.82|70|Canada, QUEBEC|-|ABM, Blomi [given to him by a friend because of his initials]. |Toben Sutherland [national head coach]; Jean-Francois Cusson [national assistant coach] ||||||||English, French|Travelling, surfing, skateboarding. |||
Maritta BECKER|Ice Hockey|Germany|Female|11 March 1981|32|1.68|64|Germany, HEILBRONN|-||||||||||||||
Patrick BECKERT|Speed Skating|Germany|Male|17 April 1990|23|1.83|74|Germany, ERFURT|-||Stephan Gneupel |||Vancouver 2010|Police Officer||||English, German||||
Stephanie BECKERT|Speed Skating|Germany|Female|30 May 1988|25|1.72|68|Germany, ERFURT|-||Stephan Gneupel [club], GER; Markus Eicher [national], GER ||She has suffered from back problems due to the position she must take while skating. Her preparations for the 2011/12 season began three months late while she received treatment. |Vancouver 2010|Athlete, Serves in the Army||||German||||
Maria BEDAREVA|Alpine Skiing|Russian Fed.|Female|3 March 1992|21|1.70|70|Russian Fed., ILPYR, KARAGINSKY DISTRICT, KAMCHATKA REGION|Russian Fed., PETROPAVLOVSK-KAMCHATSKY||Aleksandr Katalagin, Sergey Komarov, Vladimir Dudkin ||||||||English, Russian||||
Dale BEGG-SMITH|Freestyle Skiing|Australia|Male|18 January 1985|29|1.86|84|Canada, VANCOUVER|-|Iceman |Steve Desovich [national] ||In February 2009 he sustained anterior cruciate ligament damage [ACL] at the World Cup event in Deer Valley, UT, United States. The injury required four months of rehabilitation before he could return to competition. |Vancouver 2010, Torino 2006|Athlete, Business Owner||||English|Fishing. |||
Aidar BEKZHANOV|Short Track|Kazakhstan|Male|20 May 1993|20|1.74|68|Kazakhstan, KAZAKHSTAN|-||Madygali Karsybekov ||In 2013 he was suffering from knee problems. |Vancouver 2010|Athlete, Student|Uralsk City, Kazakhstan|||Kazakh, Russian, English||||
Florence BELL|Alpine Skiing|Ireland|Female|5 March 1996|17|1.56|59|Great Britain, SUTTON COLDFIELD|-||||||||||||||
Kacey BELLAMY|Ice Hockey|United States|Female|22 April 1987|26|1.70|66|United States, PROVIDENCE|-||||||||||||||
Phillip BELLINGHAM|Cross-Country|Australia|Male|24 February 1991|22|1.85|84|-|-|Philpot |August Teague, USA; Finn Marsland, AUS ||During the 2012 Australian ski season he received blood poisoning following popping a blister on his toe that he received whilst training. He spent two days in hospital on intravenous antibiotics. ||Athlete, Student||||English|Surfing, music, Australian rules football, cycling. |||
Anton BELOV|Ice Hockey|Russian Fed.|Male|29 July 1986|27|1.92|96|-|Russian Fed., CHELYABINSK||||||||||||||
Evgeniy BELOV|Cross-Country|Russian Fed.|Male|7 August 1990|23|1.85|78|-|Russian Fed.|Zhenya |Nikolai Belov [father] ||||||||||||
Maxim BELUGIN|Bobsleigh|Russian Fed.|Male|5 March 1985|28|1.95|115|-|Russian Fed., IRKUTSK||Pavel Koloyedov ||||||Brakeperson ||Russian|Fishing. |||
Olga BELYAKOVA|Short Track|Russian Fed.|Female|26 September 1988|25|1.75|60|-|Russian Fed., MARTYNTSEVO||Sergey Shlyomin; Yury Muratov, RUS |||Vancouver 2010|Athlete, Student||||Russian|Reading, movies. |||
Martin BENDIK|Alpine Skiing|Slovakia|Male|27 April 1993|20|1.87|95|Slovakia, POPRAD|-||||||||||||||
Sascha BENECKEN|Luge|Germany|Male|14 February 1990|23|1.78|74|Germany, SUHL|-||Andre Florschutz; Norbert Loch [national] ||||Athlete, Police Officer|Rodelteam Suhl, Germany||||Making music and poetry. |||
Alex BENIAIDZE|Alpine Skiing|Georgia|Male|8 February 1991|22|1.84|80|Georgia, DUSHETI|-||||||||||English, Georgian, Russian||||
Jamie BENN|Ice Hockey|Canada|Male|18 July 1989|24|1.89|94|Canada, VICTORIA|-||||||||||||||
Anthony BENNA|Freestyle Skiing|France|Male|25 September 1987|26|1.72|76|France, CLUSES|France, Megeve|The Bennett |Etienne Lecours [national] ||He was out of action for eight months in 2012 because of a knee and tibia injury sustained while training in Deer Valley, United States in February that year. He began skiing again in early October 2012. |Vancouver 2010|Athlete||||French|Ski, golf, tennis, sports in general, travelling, poker. |||
Stuart BENSON|Bobsleigh|Great Britain|Male|12 February 1981|32|1.95|103|Great Britain, PAISLEY|-|Stu, Flailing Limb |Dominik Scherrer, SUI; Peter Gunn, GBR; Michael Khmel, RUS ||||Serves in the Air Force||Push athlete ||English||||
Stanislav BENYOV|Luge|-|Male|19 April 1991|22|1.89|90|-|-||Georgi Vergov [national] ||||Athlete|Sofia, Bulgaria||||Music, technology, sports, travelling, using the internet. |||
Laura BENZ|Ice Hockey|Switzerland|Female|25 August 1992|21|1.72|63|Switzerland, KLOTEN ZH|-||||||||||||||
Sara BENZ|Ice Hockey|Switzerland|Female|25 August 1992|21|1.63|55|Switzerland, KLOTEN ZH|-||||||||||||||
Anna BERECZ|Alpine Skiing|Hungary|Female|4 September 1988|25|1.73|71|Hungary, BUDAPEST|-||||Early in her career she ruptured the cruciate ligament in her knee in Austria. It kept her out of action for more than six months. |Vancouver 2010|Athlete, Student||||English, French, German, Hungarian|Travelling, knitting, camping. |||
Bence BERES|Short Track|Hungary|Male|26 August 1992|21|1.80|77|Hungary, KOMAROM|-||Akos Banhidi ||||Student||||English, Hungarian||||
Sergei BERESTOVSKIY|Freestyle Skiing|Kazakhstan|Male|1 January 1986|28|1.78|76|Kazakhstan|-||Gennady Namerekov [personal] ||||Athlete||||Russian||||
Paul BERG|Snowboard|Germany|Male|26 September 1991|22|1.80|79|Germany, BERGISCH GLADBACH|-||Gernot Raitmair [national] AUT; ||||Athlete, Serves in the Army|SC Konstanz, Germany|Regular ||||||
Lars BERGER|Biathlon|Norway|Male|1 May 1979|34|-|-|Norway, LEVANGER|-|Der Elch [The Elk] |Espen Nordby Anderson [national] ||He has had lingering knee issues throughout his career. |Vancouver 2010|Athlete||||English, German, Norwegian|Cycling, hiking, Telemark skiing, watching movies. |||
Marielle BERGER SABBATEL|Freestyle Skiing|France|Female|29 January 1990|24|1.61|63|France, BOURG ST MAURICE|France, Bourg St Maurice|Mo |Olivier Chevallier [club] ||||Athlete||||French|Hiking, golf. |||
Tora BERGER|Biathlon|Norway|Female|18 March 1981|32|-|-|Norway, RINGERIKE|-||Egil Gjelland [national] ||In 2009 she underwent surgery for the removal of a skin cancer, which was found to be malignant. |Vancouver 2010, Torino 2006|Athlete||||English, Norwegian|Reading, fishing, hunting with her husband, being outdoors. |||
Patrice BERGERON|Ice Hockey|Canada|Male|24 July 1985|28|1.88|88|Canada, QUEBEC|-||||||||||||||
Bell BERGHUIS|Snowboard|Netherlands|Female|13 April 1985|28|1.66|63|Switzerland, ZURICH|Belgium, Antwerpen||Frank Germann ||She had surgery on her ankle following the end of the 2011/12 season. ||Athlete|Club Pellikaan, Breda, NED|||Dutch, English|Surfing, wakeboarding, mountain biking, kickboxing. |||
Patrik BERGLUND|Ice Hockey|Sweden|Male|2 June 1988|25|1.92|99|-|-||||||||||||||
Carl Johan BERGMAN|Biathlon|Sweden|Male|14 March 1978|35|1.76|73|Sweden, EKSHARAD|-||Johan Hagstrom [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002|||||English, German, Swedish|Renovating his house. |||
Alexander BERGMANN|Snowboard|Germany|Male|16 May 1987|26|1.76|70|Germany, RAVENSBURG|-||Andi Scheid ||He sustained concussion after falling on a training run for a world cup event in Limone Piemonte, Italy, in December 2008. |||WSV Bischofswiesen, Germany|Regular ||English, German||||
Jorrit BERGSMA|Speed Skating|Netherlands|Male|1 February 1986|28|1.90|73|Netherlands, BOARNSTERHIM|-||Jillert Anema [club] ||In January 2013 he needed four stitches in his eyebrow after he fell during training. He fell and hit his head on the ice after somebody collided with him from behind. ||Athlete||||Dutch|Sailing. |||
Gasper BERLOT|Nordic Combined|Slovenia|Male|6 August 1990|23|1.85|74|Slovenia, SLOVENJ GRADEC|-||Primoz Triplat [national]; Igor Jelen |||Vancouver 2010|||||English, Slovene|Football, basketball, volleyball. |||
Gregor BERMBACH|Bobsleigh|Germany|Male|17 February 1981|32|1.83|95|Germany, FRANKFURT AM MAIN|-||Hans Wimmer [personal]; Christoph Langen [national] |||Vancouver 2010|Athlete, Serves in the Army||Brakeperson ||English, German|Snowboarding, riding motorcycles, fitness. |||
Camillia BERRA|Freestyle Skiing|Switzerland|Female|2 December 1994|19|1.61|61|Switzerland, CHAMPERY VS|-|Jack |||||Athlete, Student||||English, French|Skiing, spending time with friends, reading. |||
Reto BERRA|Ice Hockey|Switzerland|Male|3 January 1987|27|1.94|89|Switzerland, BULACH ZH|-||||||||||||||
Silvia BERTAGNA|Freestyle Skiing|Italy|Female|30 November 1986|27|1.70|50|Italy, BRESSANONE|-||Valentino Mori [national] ||A recurrent knee injury flared up in January 2013, which forced her to consider her future as a skier. ||Athlete||||English, Italian|Climbing, surfing, cycling. |||
Simone BERTAZZO|Bobsleigh|Italy|Male|19 August 1982|31|1.84|103|Italy, PIEVE DI CADORE|-||||He sustained a six centimetre tear to his left hamstring in 2013. |Vancouver 2010, Torino 2006|Athlete, Police Officer||Pilot ||English, Italian|Moto GP, motocross. |||
Stefania BERTON|Figure Skating|Italy|Female|19 July 1990|23|1.61|-|Italy, ASIAGO|-||||||||||||||
Xavier BERTONI|Freestyle Skiing|France|Male|4 May 1988|25|1.75|72|France, ANNEMASSE|-||Greg Guenet ||He sprained his knee in January 2014. ||Athlete||||French|Parachute jumping, mountain biking, quad biking, motorcycles. |||
Marion BERTRAND|Alpine Skiing|France|Female|2 November 1984|29|1.63|58|France, GRASSE|-|La Kouew |Pierre-Yves Albrieux [national]; Philippe Willmann [national]; Joel Chenal [national] ||In January 2003 she suffered a torn ligament and was forced off her skis for six months. ||Athlete, Serves in the Army||||English, French|Motocross, cycling, spending time with her family and friends. |||
Christina BERTRUP|Curling|Sweden|Female|23 December 1976|37|1.75|-|Sweden, SKON|-|Nina |Fredrik Hallstrom [national] |||Salt Lake City 2002|Athlete|Skelleftea CK, Sweden|Third ||Swedish||||
Armands BERZINS|Ice Hockey|Latvia|Male|27 December 1983|30|1.92|102|Latvia, RIGA|-||||||||||||||
Anais BESCOND|Biathlon|France|Female|15 May 1987|26|1.71|68|France, AUNAY SUR ODON|-||Thierry Dusserre ||||Athlete, Serves in the Army||||English, French|Music. |||
Alexander BESSMERTNYKH|Cross-Country|Russian Fed.|Male|15 September 1986|27|1.82|78|-|Russian Fed.||Vitaly Matveykin ||||||||||||
Eveline BHEND|Freestyle Skiing|Switzerland|Female|6 April 1981|32|1.67|60|Switzerland, UNTERSEEN BE|-||||In January 2013 she tore the meniscus and cruciate ligament in her knee during her final run at a slopestyle world cup event at Copper Mountain, CO, United States. ||Athlete||||English, German|Hiking, inline skating, spending time with friends. |||
Matthias BIEBER|Ice Hockey|Switzerland|Male|14 March 1986|27|1.81|85|Switzerland, ZURICH ZH|-||||||||||||||
Christoph BIELER|Nordic Combined|Austria|Male|28 October 1977|36|1.80|70|Austria, HALL IN TIROL|-|Bieles ||||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete, Serves in the Army||||English, German|Skiing, cycling, surfing. |||
Alex BILODEAU|Freestyle Skiing|Canada|Male|8 September 1987|26|1.73|76|Canada, MONTREAL|Canada, Montreal||Michel Hamelin |||Vancouver 2010, Torino 2006|Athlete||||English, French|Hockey, golf, road biking, surfing. |||
Edson BINDILATTI|Bobsleigh|Brazil|Male|13 March 1979|34|1.90|102|Brazil, BAHIA|-||Cristiano Paes [national] |||Torino 2006, Salt Lake City 2002|Athlete||Pilot ||Portuguese|Going to the cinema. |||
Thomas BING|Cross-Country|Germany|Male|3 April 1990|23|1.77|70|-|-||Frank Ullrich [national], GER; Cuno Schreyl [personal], GER ||He had a foot injury in 2012. ||Athlete, Customs Officer|||||Sports in general, climbing, nature, cooking. |||
Saevar BIRGISSON|Cross-Country|Iceland|Male|15 February 1988|25|1.75|-|-|-||||||Athlete||||English, Icelandic|Fishing, mountain climbing, golf. |||
Jorge F. BIRKNER KETELHOHN|Alpine Skiing|Argentina|Male|26 June 1990|23|-|-|Argentina, BUENOS AIRES|-|Georgi |||||||||||||
Andreas BIRNBACHER|Biathlon|Germany|Male|11 September 1981|32|1.79|73|Germany, PRIEN AM CHIEMSEE|-|Andi, Birnei |Fritz Fischer [personal]; Mark Kirchner [national] ||He missed the opening World Cup event of the 2013/14 season due to a cold. |Vancouver 2010|Athlete, Serves in the Army||||English, German|Kayaking, mountain biking, music, deep sea fishing. |||
David BISSETT|Bobsleigh|Canada|Male|26 September 1979|34|1.79|102|Canada, LETHBRIDGE|-||Tom De La Hunty [national] |||Vancouver 2010, Torino 2006|Athlete||Push athlete ||||||
Monika BITTNER|Ice Hockey|Germany|Female|29 January 1988|26|1.56|60|Germany, PEISSENBERG|-||||||||||||||
Vanessa BITTNER|Speed Skating|Austria|Female|4 July 1995|18|1.75|70|Austria, INNSBRUCK|-||Hannes Wolf, Tracy Northup ||||Student||||English, French, German|Spending time with friends, shopping. |||
Marit BJOERGEN|Cross-Country|Norway|Female|21 March 1980|33|-|-|-|-||Egil Kristiansen. ||She was admitted to hospital with heart rhythm abnormalities in December 2012, forcing her to withdraw from the 2012 Tour de Ski. She was released after a day and returned to competition on the in January 2013. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Athlete, Fitness Instructor||||English, Norwegian|Sport, reading, getting back to nature, golf. |||
Ole Einar BJOERNDALEN|Biathlon|Norway|Male|27 January 1974|40|-|-|Norway, DRAMMEN|-|Klumpi, King |Espen Nordby Andersen [national] ||He was troubled by a back injury prior to the 2011/12 season. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998, Lillehammer 1994|Athlete||||English, German, Norwegian|Motorcycles, cycling, rock climbing, cars. |||
Erik BJORNSEN|Cross-Country|United States|Male|14 July 1991|22|1.85|84|-|-||Erik Flora [club] ||||Athlete, Student||||English|Fishing, exploring. |||
Sadie BJORNSEN|Cross-Country|United States|Female|21 November 1989|24|1.75|66|-|-|Super-Sadie |Erik Flora ||In 2012 she was hampered by a structural problem in her back and tendinitis in her foot. The back injury first occurred in November 2011. Since 2008 she has suffered from a form of tendinitis in her Achilles tendon but only discovered and began to treat the injury in May 2012. ||Athlete, Student||||English, French|Swimming, cycling, climbing, dancing, listening to techno music. |||
Mackenzie BLACKBURN|Short Track|Chinese Taipei|Male|10 November 1992|21|1.77|82|Canada|-||||||Athlete||||||||
Wayne BLACKWOOD|Bobsleigh|-|Male|28 July 1969|44|1.75|95|-|-||||||||||||||
Jenna BLASMAN|Snowboard|Canada|Female|24 September 1993|20|1.57|58|Canada, KITCHENER|-||Leo Addington [national] ||In January 2014 she fell on a training run in Stoneham, QC, Canada, and suffered a dislocated and fractured wrist. She hopes to have recovered in time to compete at the 2014 Olympic Winter Games in Sochi. ||Athlete||Goofy ||English||||
Sofia BLECKUR|Cross-Country|Sweden|Female|3 July 1984|29|1.64|60|-|-||Mattias Persson ||She suffers from ankylosing spondylitis, a chronic inflammatory disease of the axial skeleton. The condition forced her to stop training between July and September 2012. ||||||English, Swedish||||
